participant_id,answer_accuracy,elapsed_time,trial_type,condition,current_stimulus_index,target_left,target_right,correct_answer,key_pressed,questions_order,question_index,question_condition,textures_order_for_question,texture_index,texture_condition,trial_number
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,2703,training,pie,9,eggplant,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,0
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,4684,training,pie,15,eggplant,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3364,training,pie,5,olive,carrot,olive,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,2
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3367,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,0
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3160,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,1
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,2800,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,2
15c18f93-9d69-46cc-ad91-f2e92c74d36e,-1,5000,real,pie,5,celery,olive,celery,none,"more, fewer",0,MORE,"color, geo, icon",0,color,3
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,4883,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,4
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3452,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,5
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3541,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,6
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,2252,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,7
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3789,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",0,color,8
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,2380,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",0,color,9
15c18f93-9d69-46cc-ad91-f2e92c74d36e,-1,5000,training,pie,26,olive,mushroom,olive,none,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,2031,training,pie,20,tomato,eggplant,eggplant,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,1460,training,pie,19,eggplant,carrot,carrot,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3573,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,0
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,2078,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,1
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,4852,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,2
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3400,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,3
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3537,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,4
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3228,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,5
15c18f93-9d69-46cc-ad91-f2e92c74d36e,0,3420,real,pie,5,celery,olive,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,6
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3367,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,7
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,1470,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",1,geo,8
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,1834,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",1,geo,9
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3626,training,pie,11,carrot,tomato,tomato,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,0
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3109,training,pie,4,carrot,celery,celery,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,1
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,2193,training,pie,12,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,2
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,1351,real,pie,8,corn,celery,corn,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,0
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,2197,real,pie,1,tomato,corn,tomato,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,1
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,2252,real,pie,9,corn,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,2
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,1845,real,pie,7,mushroom,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,3
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3016,real,pie,6,olive,mushroom,mushroom,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,4
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3019,real,pie,2,mushroom,celery,mushroom,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,5
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3512,real,pie,3,olive,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,6
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3082,real,pie,0,eggplant,corn,corn,ArrowRight,"more, fewer",0,MORE,"color, geo, icon",2,icon,7
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,2768,real,pie,5,celery,olive,celery,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,8
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,3378,real,pie,4,carrot,mushroom,carrot,ArrowLeft,"more, fewer",0,MORE,"color, geo, icon",2,icon,9
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,2897,training,pie,13,carrot,olive,olive,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,0
15c18f93-9d69-46cc-ad91-f2e92c74d36e,1,2841,training,pie,26,olive,mushroom,mushroom,ArrowRight,"more, fewer",1,FEWER,"color, icon, geo",0,color,1
